"Herb names (Chinese, English)",MOL_ID,MV,ALOGP,HDON,HACC,OB,CACO2,BBB,DL,FASA,HL,OB value,Caco2 value,DL value,HL value,Total
Î÷ºÓÁø(Chinese Tamarisk Twig),MOL004564,300.28,2.02,3,6,73.41,0.43,-0.21,0.27,0.36,14.86,TRUE,TRUE,TRUE,TRUE,TRUE
É½Ò©£¨Common Yam Rhizome£©,MOL005465,394.45,4.81,3,6,45.33,0.73,0,0.77,0.27,14.86,TRUE,TRUE,TRUE,TRUE,TRUE
°×ÏÊÆ¤(DenseFruit Pittany RootBark),MOL006233,318.3,1.74,4,7,48.36,-0.11,-0.76,0.3,0.34,14.86,TRUE,TRUE,TRUE,TRUE,TRUE
¸ð»¨(Flower of Lobed Kudzuvine),MOL011791,608.6,-0.84,7,15,46.91,-1.91,-2.88,0.67,0.25,14.87,TRUE,FALSE,TRUE,TRUE,FALSE
ºì»¨£¨Safflower£©,MOL002695,458.55,3.78,0,8,43.32,0.42,-0.16,0.65,0.19,14.88,TRUE,TRUE,TRUE,TRUE,TRUE
¹Ø»Æ°Ø(Amur CorkTree),MOL001131,356.4,3.61,4,6,56.6,0.14,-0.5,0.39,0.38,14.89,TRUE,TRUE,TRUE,TRUE,TRUE
Ã»Ò©(Myrrh),MOL001131,356.4,3.61,4,6,56.6,0.14,-0.5,0.39,0.38,14.89,TRUE,TRUE,TRUE,TRUE,TRUE
»Æ°Ø(Amur CorkTree),MOL001131,356.4,3.61,4,6,56.6,0.14,-0.5,0.39,0.38,14.89,TRUE,TRUE,TRUE,TRUE,TRUE
µ¤²Î£¨Salvia Root£©,MOL007041,264.34,4.16,0,2,40.86,1.23,0.81,0.23,0.43,14.89,TRUE,TRUE,TRUE,TRUE,TRUE
³µÇ°×Ó£¨Plantain Seed£©,MOL007813,304.27,1.76,5,7,58.12,-0.03,-0.81,0.28,0,14.9,TRUE,TRUE,TRUE,TRUE,TRUE
µ¤²Î£¨Salvia Root£©,MOL007036,298.41,4.38,2,3,33.77,1.19,0.8,0.29,0.29,14.91,TRUE,TRUE,TRUE,TRUE,TRUE
ÑÇÂé×Ó£¨Linseed£©,MOL005701,660.73,2.15,5,14,46.34,-1.01,-2.36,0.52,0.26,14.93,TRUE,FALSE,TRUE,TRUE,FALSE
ÆÑ»Æ£¨Cattail Pollen£©,MOL006115,284.28,2.44,4,5,62.87,0.29,-0.51,0.24,0,14.93,TRUE,TRUE,TRUE,TRUE,TRUE
ÂúÉ½ºì(Dahurian Rhododendron Leaf),MOL012432,300.33,3.27,3,5,42.65,0.59,-0.04,0.26,0.34,14.96,TRUE,TRUE,TRUE,TRUE,TRUE
Ã¨×¦²Ý(Catclaw Buttercup Root),MOL000242,302.3,2.28,3,6,56.56,0.46,-0.21,0.27,0.34,14.99,TRUE,TRUE,TRUE,TRUE,TRUE
¸Ê²Ý£¨Liquorice Root£©,MOL004864,352.41,4.17,2,5,30.49,0.9,0.21,0.41,0,14.99,TRUE,TRUE,TRUE,TRUE,TRUE
Ç§½ï°Î(Radix Et Caulis Flemingiae)(Radix Et Caulis Flemingiae),MOL000665,406.46,4.11,2,6,47.66,0.81,0.03,0.73,0.29,15.01,TRUE,TRUE,TRUE,TRUE,TRUE
ÖªÄ¸£¨Common Anemarrhena Rhizome£©,MOL004373,368.41,3.88,3,6,45.41,0.72,0.01,0.44,0,15.01,TRUE,TRUE,TRUE,TRUE,TRUE
ÒùÑòÞ½£¨Epimedium Herb£©,MOL004373,368.41,3.88,3,6,45.41,0.72,0.01,0.44,0,15.01,TRUE,TRUE,TRUE,TRUE,TRUE
Ö×½Ú·ç£¨Sarcandrae Herba£©,MOL004373,368.41,3.88,3,6,45.41,0.72,0.01,0.44,0,15.01,TRUE,TRUE,TRUE,TRUE,TRUE
Ç£Å£×Ó(Pharbitis Seed),MOL004373,368.41,3.88,3,6,45.41,0.72,0.01,0.44,0,15.01,TRUE,TRUE,TRUE,TRUE,TRUE
Âí±Þ²Ý£¨European Verbena Herb£©,MOL005229,388.4,2.31,1,8,49.55,0.81,-0.09,0.48,0.15,15.01,TRUE,TRUE,TRUE,TRUE,TRUE
¾Õ»¨(Chrysanthemum Flower),MOL005229,388.4,2.31,1,8,49.55,0.81,-0.09,0.48,0.15,15.01,TRUE,TRUE,TRUE,TRUE,TRUE
ÇàÝï£¨Sweet Wormwood Herb£©,MOL005229,388.4,2.31,1,8,49.55,0.81,-0.09,0.48,0.15,15.01,TRUE,TRUE,TRUE,TRUE,TRUE
Âû¾£×Ó(Shrub Chastetree Fruit),MOL005229,388.4,2.31,1,8,49.55,0.81,-0.09,0.48,0.15,15.01,TRUE,TRUE,TRUE,TRUE,TRUE
Ç§½ð×Ó£¨Caper Euphorbia Seed£©,MOL005229,388.4,2.31,1,8,49.55,0.81,-0.09,0.48,0.15,15.01,TRUE,TRUE,TRUE,TRUE,TRUE
ÇàÒ¶µ¨£¨Mile Swertia Herb£©,MOL007963,302.3,2.65,1,6,101.06,1.07,0.36,0.3,0.2,15.01,TRUE,TRUE,TRUE,TRUE,TRUE
µÆÕµÏ¸ÐÁ(Manchurian Wildginger)(Manchurian Wildginger),MOL007963,302.3,2.65,1,6,101.06,1.07,0.36,0.3,0.2,15.01,TRUE,TRUE,TRUE,TRUE,TRUE
ÑÓºúË÷£¨Yanhusuo£©,MOL004228,396.47,3.25,0,6,42.74,0.55,-0.08,0.79,0.21,15.02,TRUE,TRUE,TRUE,TRUE,TRUE
ºú»ÆÁ¬(Golden Thread),MOL003732,220.67,-0.43,2,4,57.03,-0.17,-0.61,0.1,0,15.04,TRUE,TRUE,FALSE,TRUE,FALSE
ÊìµØ»Æ£¨Prepared Rehmannia Root£©,MOL003732,220.67,-0.43,2,4,57.03,-0.17,-0.61,0.1,0,15.04,TRUE,TRUE,FALSE,TRUE,FALSE
ÇàÝï£¨Sweet Wormwood Herb£©,MOL007401,330.31,2.3,3,7,43.46,0.55,-0.51,0.34,0.25,15.04,TRUE,TRUE,TRUE,TRUE,TRUE
°Ü½´²Ý(Herba Patriniae),MOL001678,356.4,3.77,4,6,39.94,0.29,-0.35,0.41,0.35,15.05,TRUE,TRUE,TRUE,TRUE,TRUE
ÎâÜïÝÇ(Medicinal Evodia Fruit),MOL004020,318.25,1.24,6,8,35,-0.09,-1.02,0.31,0.36,15.05,TRUE,TRUE,TRUE,TRUE,TRUE
